actual_names, bet365_names
Boston Bruins, BOS Bruins
Buffalo Sabres, BUF Sabres
Detroit Red Wings, DET Red Wings
Florida Panthers, FLA Panthers
Montreal Canadiens, MON Canadiens
Ottawa Senators, OTT Senators
Tampa Bay Lightning, TB Lightning
Toronto Maple Leafs, TOR Maple Leafs
Carolina Hurricanes, CAR Hurricanes
Columbus Blue Jackets, CLB Blue Jackets
New Jersey Devils, NJ Devils
New York Islanders, NY Islanders
New York Rangers, NY Rangers
Philadelphia Flyers, PHI Flyers
Pittsburgh Penguins, PIT Penguins
Washington Capitals, WAS Capitals
Utah Hockey Club, UTA Hockey Club
Chicago Blackhawks, CHI Blackhawks
Colorado Avalanche, COL Avalanche
Dallas Stars, DAL Stars
Minnesota Wild, MIN Wild
Nashville Predators, NAS Predators
St. Louis Blues, STL Blues
Winnipeg Jets, WIN Jets
Anaheim Ducks, ANA Ducks
Calgary Flames, CAL Flames
Edmonton Oilers, EDM Oilers
Los Angeles Kings, LA Kings
San Jose Sharks, SJ Sharks
Seattle Kraken, SEA Kraken
Vancouver Canucks, VAN Canucks
Vegas Golden Knights, VGS Golden Knights
